Uid,Sentiment
1916,positive
1917,positive
1918,positive
1919,positive
1920,neutral
1921,positive
1922,positive
1923,neutral
1924,neutral
1925,positive
1926,positive
1927,positive
1928,positive
1929,neutral
1930,neutral
1931,positive
1932,positive
1933,positive
1934,positive
1935,positive
1936,neutral
1937,positive
1938,positive
1939,negative
1940,neutral
1941,positive
1942,neutral
1943,positive
1944,positive
1945,neutral
1946,positive
1947,positive
1948,positive
1949,positive
1950,positive
1951,positive
1952,positive
1953,positive
1954,positive
1955,positive
1956,positive
1957,positive
1958,neutral
1959,neutral
1960,neutral
1961,positive
1962,positive
1963,positive
1964,neutral
1965,positive
1966,neutral
1967,positive
1968,positive
1969,positive
1970,neutral
1971,positive
1972,positive
1973,positive
1974,positive
1975,positive
1976,neutral
1977,neutral
1978,positive
1979,neutral
1980,positive
1981,positive
1982,positive
1983,neutral
1984,positive
1985,positive
1986,positive
1987,positive
1988,positive
1989,positive
1990,neutral
1991,positive
1992,neutral
1993,neutral
1994,positive
1995,negative
1996,positive
1997,positive
1998,positive
1999,positive
2000,negative
2001,neutral
2002,positive
2003,neutral
2004,positive
2005,negative
2006,positive
2007,neutral
2008,positive
2009,neutral
2010,positive
2011,positive
2012,neutral
2013,positive
2014,positive
2015,positive
2016,positive
2017,positive
2018,positive
2019,neutral
2020,neutral
2021,positive
2022,positive
2023,positive
2024,neutral
2025,positive
2026,neutral
2027,negative
2028,neutral
2029,positive
2030,positive
2031,positive
2032,neutral
2033,positive
2034,positive
2035,positive
2036,positive
2037,positive
2038,positive
2039,positive
2040,neutral
2041,neutral
2042,positive
2043,negative
2044,positive
2045,neutral
2046,negative
2047,positive
2048,positive
2049,neutral
2050,neutral
2051,positive
2052,neutral
2053,positive
2054,positive
2055,neutral
2056,negative
2057,positive
2058,positive
2059,positive
2060,negative
2061,positive
2062,positive
2063,positive
2064,neutral
2065,positive
2066,neutral
2067,neutral
2068,neutral
2069,negative
2070,positive
2071,positive
2072,neutral
2073,positive
2074,positive
2075,positive
2076,negative
2077,neutral
2078,neutral
2079,positive
2080,neutral
2081,positive
2082,positive
2083,neutral
2084,positive
2085,neutral
2086,neutral
2087,neutral
2088,positive
2089,neutral
2090,negative
2091,positive
2092,positive
2093,positive
2094,positive
2095,positive
2096,negative
2097,positive
2098,positive
2099,negative
2100,positive
2101,positive
2102,positive
2103,positive
2104,positive
2105,positive
2106,negative
2107,positive
2108,positive
2109,positive
2110,negative
2111,neutral
2112,positive
2113,positive
2114,positive
2115,positive
2116,neutral
2117,neutral
2118,positive
2119,positive
2120,neutral
2121,positive
2122,positive
2123,positive
2124,positive
2125,positive
2126,positive
2127,negative
2128,positive
2129,neutral
2130,positive
2131,positive
2132,positive
2133,positive
2134,neutral
2135,positive
2136,positive
2137,negative
2138,neutral
2139,neutral
2140,positive
2141,positive
2142,positive
2143,neutral
2144,negative
2145,positive
2146,neutral
2147,positive
2148,positive
2149,negative
2150,positive
2151,positive
2152,positive
2153,neutral
2154,neutral
2155,positive
2156,positive
2157,positive
2158,positive
2159,positive
2160,positive
2161,positive
2162,neutral
2163,positive
2164,neutral
2165,positive
2166,positive
2167,positive
2168,positive
2169,neutral
2170,positive
2171,positive
2172,positive
2173,negative
2174,positive
2175,positive
2176,positive
2177,positive
2178,positive
2179,positive
2180,neutral
2181,negative
2182,positive
2183,negative
2184,positive
2185,negative
2186,positive
2187,positive
2188,neutral
2189,neutral
2190,positive
2191,negative
2192,positive
2193,neutral
2194,neutral
2195,negative
2196,positive
2197,positive
2198,positive
2199,positive
2200,neutral
2201,positive
2202,positive
2203,positive
2204,positive
2205,positive
2206,positive
2207,positive
2208,neutral
2209,positive
2210,positive
2211,positive
2212,positive
2213,positive
2214,negative
2215,negative
2216,neutral
2217,positive
2218,positive
2219,positive
2220,positive
2221,positive
2222,positive
2223,positive
2224,positive
2225,positive
2226,positive
2227,positive
2228,positive
2229,negative
2230,positive
2231,positive
2232,positive
2233,neutral
2234,positive
2235,positive
2236,positive
2237,positive
2238,negative
2239,positive
2240,negative
2241,positive
2242,positive
2243,neutral
2244,neutral
2245,positive
2246,positive
2247,positive
2248,positive
2249,neutral
2250,neutral
2251,negative
2252,positive
2253,positive
2254,negative
2255,positive
2256,neutral
2257,neutral
2258,positive
2259,positive
2260,neutral
2261,positive
2262,positive
2263,positive
2264,positive
2265,neutral
2266,neutral
2267,positive
2268,positive
2269,positive
2270,positive
2271,positive
2272,positive
2273,negative
2274,neutral
2275,positive
2276,neutral
2277,neutral
2278,positive
2279,neutral
2280,positive
2281,positive
2282,positive
2283,positive
2284,positive
2285,negative
2286,neutral
2287,positive
2288,positive
2289,positive
2290,positive
2291,positive
2292,negative
2293,negative
2294,positive
2295,positive
2296,neutral
2297,neutral
2298,positive
2299,positive
2300,positive
2301,positive
2302,neutral
2303,positive
2304,neutral
2305,neutral
2306,neutral
2307,neutral
2308,positive
2309,positive
2310,positive
2311,positive
2312,positive
2313,positive
2314,positive
2315,positive
2316,positive
2317,negative
2318,neutral
2319,positive
2320,positive
2321,positive
2322,negative
2323,positive
2324,positive
2325,positive
2326,positive
2327,positive
2328,neutral
2329,negative
2330,positive
2331,neutral
2332,positive
2333,positive
2334,positive
2335,negative
2336,positive
2337,positive
2338,positive
2339,positive
2340,positive
2341,positive
2342,positive
2343,positive
2344,positive
2345,positive
2346,negative
2347,neutral
2348,positive
2349,positive
2350,positive
2351,positive
2352,neutral
2353,neutral
2354,positive
2355,positive
2356,positive
2357,positive
2358,neutral
2359,positive
2360,positive
2361,positive
2362,negative
2363,positive
2364,positive
2365,positive
2366,positive
2367,positive
2368,negative
2369,neutral
2370,positive
2371,positive
2372,positive
2373,positive
2374,positive
2375,positive
2376,positive
2377,positive
2378,positive
2379,positive
2380,neutral
2381,positive
2382,neutral
2383,positive
2384,positive
2385,positive
2386,positive
2387,neutral
2388,negative
2389,positive
2390,positive
2391,neutral
2392,positive
2393,positive
2394,positive
2395,positive
2396,positive
2397,positive
2398,neutral
2399,positive
2400,positive
2401,negative
2402,positive
2403,neutral
2404,positive
2405,positive
2406,negative
2407,positive
